state,city,year,month,day_of_week,time_of_day,severity,vehicles_involved,casualties,fatalities,weather,road_type,road_condition,lighting,speed_limit,driver_age,driver_gender,alcohol_involved,hour,vehicle_type,engine_size,car_age,casualty_severity,casualty_age,state_clean,state_weather,district,total_rainfall,avg_daily_rainfall,max_daily_rainfall,rainy_days_count,rainfall_intensity,drought_risk,flood_risk,normal_rainfall,season,annual_rainfall,monsoon_rainfall,winter_rainfall,summer_rainfall,post_monsoon_rainfall,is_night,is_evening,is_morning,is_afternoon,is_morning_rush,is_evening_rush,is_rush_hour,day_of_week_num,is_weekend,is_weekday,is_friday,is_monday,is_winter,is_summer,is_monsoon,is_post_monsoon,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,state_encoded,city_encoded,weather_encoded,weather_clear,weather_rainy,weather_foggy,weather_stormy,road_type_encoded,road_highway,road_urban,road_rural,road_condition_encoded,lighting_encoded,lighting_daylight,lighting_dark,lighting_twilight,vehicle_type_encoded,driver_gender_encoded,season_encoded,total_rainfall_level,total_rainfall_low,total_rainfall_high,avg_daily_rainfall_level,avg_daily_rainfall_low,avg_daily_rainfall_high,max_daily_rainfall_level,max_daily_rainfall_low,max_daily_rainfall_high,normal_rainfall_level,normal_rainfall_low,normal_rainfall_high,annual_rainfall_level,annual_rainfall_low,annual_rainfall_high,monsoon_rainfall_level,monsoon_rainfall_low,monsoon_rainfall_high,monsoon_dependency,weather_severity_score,multi_vehicle,vehicle_risk_score,high_speed,low_speed,speed_risk_score,young_driver,elderly_driver,inexperienced_driver,alcohol_risk,road_risk_score,visibility_risk,night_rain_risk,rush_fog_risk,speed_rain_risk,young_night_risk,elderly_dark_risk,combined_risk_score,high_risk_state,state_risk_score,major_city,urban_area,severity_level,risk_score,high_risk,severe_accident
Jammu and Kashmir,Unknown,2021.0,6.0,Monday,1:46,Serious,5.0,0.0,4.0,Hazy,National Highway,Wet,Dark,61.0,66,Male,Yes,1.0,Unknown,1901.0,10.0,Serious,41.0,JAMMU AND KASHMIR,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,1,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0.25881904510252074,0.9659258262890683,1.2246467991473532e-16,-1.0,0.0,1.0,22,23,3,0,0,0,0,0,1,0,0,4,0,0,1,0,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.791759469228055,0,0,0.61,0,1,0,1,0.5,0.6,0,0,0,0,1,0.4033333333333333,0,0.5,0,0,1,0.48958797346140276,0,1
Uttar Pradesh,Lucknow,2018.0,6.0,Wednesday,21:30,Minor,5.0,5.0,4.0,Hazy,Urban Road,Dry,Dusk,92.0,60,Male,Yes,21.0,Unknown,1901.0,10.0,Serious,41.0,UTTAR PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,1,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0,-0.7071067811865477,0.7071067811865474,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,56,10,3,0,0,0,0,3,0,1,0,1,3,0,0,1,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.791759469228055,1,0,0.92,0,0,0,1,0.5,0.0,0,0,0,0,0,0.3066666666666667,1,0.9,1,1,0,0.26958797346140273,0,0
Chhattisgarh,Unknown,2023.0,6.0,Wednesday,5:37,Minor,5.0,6.0,5.0,Foggy,National Highway,Under Construction,Dawn,120.0,26,Female,No,5.0,Unknown,1901.0,10.0,Serious,41.0,CHHATTISGARH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,1,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0,0,0.9659258262890683,0.25881904510252074,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,10,23,2,0,0,1,0,0,1,0,0,2,1,0,0,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.4,1,1.791759469228055,1,0,1.2,0,0,0,0,0.8,0.4,0,0,0,0,0,0.6666666666666666,0,0.5,0,0,0,0.4045879734614028,0,0
Uttar Pradesh,Lucknow,2020.0,6.0,Saturday,0:31,Minor,3.0,10.0,5.0,Rainy,State Highway,Dry,Dark,76.0,34,Female,Yes,0.0,Unknown,1901.0,10.0,Serious,41.0,UTTAR PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,1,0,0,0,0,0,0,5.0,1,0,0,0,0,0,0,0,0.0,1.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,56,10,5,0,1,0,0,1,1,0,0,1,0,0,1,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.3,1,1.3862943611198906,0,0,0.76,0,0,0,1,0.5,0.6,1,0,0,0,0,0.5533333333333333,1,0.9,1,1,0,0.3993147180559945,0,0
Sikkim,Unknown,2021.0,6.0,Thursday,11:21,Minor,5.0,7.0,1.0,Foggy,Urban Road,Wet,Dusk,115.0,30,Male,No,11.0,Unknown,1901.0,10.0,Serious,41.0,SIKKIM,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,3.0,0,1,0,0,0,0,0,0,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,48,23,2,0,0,1,0,3,0,1,0,4,3,0,0,1,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.4,1,1.791759469228055,1,0,1.15,0,0,0,0,0.5,0.4,0,0,0,0,0,0.6499999999999999,0,0.5,0,0,0,0.2695879734614028,0,0
Meghalaya,Unknown,2020.0,6.0,Tuesday,8:4,Serious,1.0,6.0,2.0,Stormy,Village Road,Dry,Daylight,48.0,44,Male,Yes,8.0,Unknown,1901.0,10.0,Serious,41.0,MEGHALAYA,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,1,0,1,0,1,1.0,0,1,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,36,23,8,0,0,0,1,4,0,0,1,1,2,1,0,0,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.5,0,0.6931471805599453,0,0,0.48,0,0,0,1,0.5,0.0,0,0,0,0,0,0.32666666666666666,0,0.5,0,0,1,0.5046573590279972,0,1
Sikkim,Unknown,2021.0,6.0,Monday,18:55,Fatal,2.0,9.0,5.0,Foggy,Urban Road,Under Construction,Dusk,111.0,48,Female,No,18.0,Unknown,1901.0,10.0,Serious,41.0,SIKKIM,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,1,0,0,0,1,1,0.0,0,1,0,1,0,0,0,0,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,0.0,1.0,48,23,2,0,0,1,0,3,0,1,0,2,3,0,0,1,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.4,1,1.0986122886681098,1,0,1.11,0,0,0,0,0.8,0.4,0,1,0,0,0,0.6366666666666667,0,0.5,0,0,2,0.6399306144334056,1,1
Himachal Pradesh,Unknown,2022.0,6.0,Wednesday,11:40,Minor,3.0,1.0,5.0,Clear,State Highway,Damaged,Dark,62.0,42,Female,No,11.0,Unknown,1901.0,10.0,Serious,41.0,HIMACHAL PRADESH,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,0,1,0,0,0,2.0,0,1,0,0,0,0,0,0,0.258819045102521,-0.9659258262890682,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,20,23,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.3862943611198906,0,0,0.62,0,0,0,0,0.9,0.6,0,0,0,0,0,0.4066666666666667,0,0.5,0,0,0,0.22931471805599454,0,0
Rajasthan,Jodhpur,2021.0,6.0,Saturday,8:26,Fatal,3.0,7.0,1.0,Clear,Urban Road,Damaged,Dawn,35.0,53,Male,No,8.0,Unknown,1901.0,10.0,Serious,41.0,RAJASTHAN,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,0,0,1,0,1,0,1,5.0,1,0,0,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,46,7,0,1,0,0,0,3,0,1,0,0,1,0,0,0,4,3,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.0,1,1.3862943611198906,0,0,0.35,0,0,0,0,0.9,0.0,0,0,0,0,0,0.11666666666666665,1,0.6,0,1,2,0.5943147180559946,0,1
Rajasthan,Jodhpur,2018.0,6.0,Saturday,2:1,Fatal,2.0,3.0,2.0,Foggy,State Highway,Under Construction,Dark,110.0,50,Female,Yes,2.0,Unknown,1901.0,10.0,Serious,41.0,RAJASTHAN,Unknown,Unknown,0.0,0.0,0.0,,,0,0,0.0,Unknown,0.0,0.0,,,,1,0,0,0,0,0,0,5.0,1,0,0,0,0,0,0,0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,46,7,2,0,0,1,0,1,1,0,0,2,0,0,1,0,4,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,,1,0,0.0,0.4,1,1.0986122886681098,1,0,1.1,0,0,0,1,0.8,1.0,0,0,0,0,0,0.8333333333333334,1,0.6,0,1,2,0.7349306144334055,1,1
